symptom,class
LDL수치와 약복용 시기 문의. 내분비내과 선생님 답변 부탁드려요~,ENDO
식중독이 1주일 이상 지속되기도  하는지요?,INFC
LDL수치와 약복용 시기 문의,ENDO
비만과 호흡상태,ENDO
단백질 보충제 섭취법,KTM
트루패스 구강붕해정 8mg,URO
위염 치료 중 귀 염증 약,GI
생리통,OBGY
술 마시고 명치 부위가 계속 쓰라려여 ㅠ,GI
가슴 답답함,CA
현기증과 저체온증,NR
과호흡 전해질문의,NPH
입안에 이런게 생겼어요 혹시 배체트병이나 그런건 아니겠죠?,RHEU
수면내시경 후 피로,GI
몸떨림 마그네슘 부족,NR
수술한코 염증검사? 어떻게 하나요?,PS
역류성식도염 회복기간 질문이요,GI
밥먹고 위 불편,GI
위염이나 식도염으로 인한 두통,GI
배가 요즘 차가운걸 안먹어도 배가 아프고요 ,GI
빈혈의 원인을 정확히 알 수 있는 검사가 있을까요?,HEON
응고된 피 변 주변의 피,GI
주사맞고 멍든 거 금방 나을까요?ㅠ,DERM
1년전 양쪽 점액낭종 및 왼쪽 부비동염 수술했는데요,ENT
신경차단 주사시술 투여액 문의드립니다.,AN
과도한 단백질에 극단적으로 적은 탄수화물,KTM
이런 변을 자주 봅니다 ㅠㅠ,GI
갑상선초음파 결과 좀 봐주세요,ENDO
열감 재질문 드립니다.,IP
마그밀정 하루에 어떤식으로 먹어야 할까요?,GI
몸이 열감이 나타나고 느껴집니다.,IP
열감이 나타납니다.,IP
심장관련질문입니다.,CA
재질문드립니다... (살찌는부위글),ENDO
식도내압검사 정상인데 역류하는 이유,GI
골다공증,ENDO
20대 골다공증,ENDO
20살 골다공증 걸릴확률,ENDO
약때문에 변비,GI
장염여.....,GI
시판 진통제(타이레놀,AN
타이레놀 먹어도 되나요,AN
가정혈압과 병원혈압이 차이가 많이 납니다.,CA
신경치료3년후 이빨 통증 치성상악동염 의심,DENT
2가지 질문/기립성저협압,CA
메리골드차 유통기한 알려주세요,KTM
콜레스테롤 저하(비약물 복용자와 약물 복용자),ENDO
어지럼증 및 소화불량때매 힘드네요...,GI
지속적인 점액변,GI
성인 백일해 예방접종 해야할까요??,IP
집에서 글리세린 관장 할 때 몇ml 넣으면 될까요?,GI
뛰면 두통,NR
여름철 식중독 배탈,GI
배아픈 증상,GI
다이어트를 하려고 하는데 질문 드립니다.,ENDO
배가 바늘로 찔리는거 처럼 아픕니다.,GI
아침 식전 식도염 약 먹고 바로 걷기 운동 해도 되나요?,GI
아침 식전 식도염 약 먹고 걷기 운동 해도 되나요?,GI
장염약인데요~,GI
넥시메졸캡슐 식후 복용,GI
위염 역류성식도염 오티렌f정,GI
요즘신경 쓰는일이  있어서 증상이 심한것 같아요,PSY
앞목이 쥐나고 저려요,KTM
급격한 극심한 스트레스후 바로 위 통증들을 느꼈는데,GI
24시간 식도산도검사 하는 이유가 뭔가용,GI
성병과 편도염 사이 관계,ENT
경부초음파로는  어떠한것을 관찰 하나요,NR
지금 현재 머리가.너무 무겁습니다  재질문.  대학병원에서만이라면..,NR
결명자차를 식수 대용으로 마셔도 되나요?,KTM
지금 현재 머리가.너무 무겁습니다,NR
위 용종,GI
목이물감 3차 병원 진료,ENT
결명자차를 마시면 대장이 갈색으로 변하나요?,KTM
칼슘 수치에 대해서,ENDO
어제밤 왼쪽머리 뭔가 터지는듯한느낌+왼쪽 정수리 부분 시림 증상 (내용 추가해서 다시올립니다),NR
깜짝놀라면 심장마비가 올 수도 있나요?ㅠㅠ,CA
이뇨제복용중단으로인한 체중증가,NPH
몸살감기 문의드립니다 코로나 증상인지 궁금하구요,IP
피지낭종 짜고나서,ENDO
비타민이나 msm같은 것에도 스테로이드 성분 있나요,OS
청소년 질내사정 임신,OBGY
목 멍울 질문,ENT
당뇨에 좋다는 여주가루를 복용 할려고 하는데 약물 상호작용에 대해 알려주세요,KTM
구토 및 소화불량,GI
위 내시경 질문,GI
목 멍울 증상 질문,GI
양가슴 가운데쪽 통증,CA
어제 밤 누울때 왼쪽 옆머리에서 뭔가 터지는듯한 느낌을 받았어요,NR
아침에 일어나면 위가 아파요,GI
아기 오일먹음,GI
악보가 휘어져 보여요 종종 머리가 아프다고 하고요,OPH
임신테스트기 결과,OBGY
[운동]기초체력을 늘리려고 하는데 어떻게 하면 될까요?,REHM
장염인가요??,GI
폐암 걸릴 확률있나요? ,IP
후두식도역류  목 잠김 현상,GI
노즈스위퍼에대해서요,ENT
침 삼킬때(가래낄때) 목에서 뚜둑 거리는 이물감,ENT
목이물감 으로 고민중입니다,ENT
특수건강검진 전 음주 관련..,GI
생리가 9일째 안나오고 있어요,OBGY
다시 질문 합니다 임신 가능성 및 증상,OBGY
골다공증과  신장질환,NPH
이석증으로 치료,ENT
신지로이드라는 갑상선 저하증 약을 드시고 계시는데 덱실란트디알캡슐60mg 이랑 같이 복용해도 괜찮은가요???,ENDO
67일째 아기 토하는데 뭔가요?,GI
과민성대장증후군 고칠 수 있나요?,GI
파상풍 재질문 드립니다~,INFC
파상풍 재질문 드립니다..,INFC
역류성 식도염과 유제품,GI
왼쪽가슴 송곳으로 찌르는 통증,CA
목잠김 으로 고생 하고 있습니다,ENT
침 삼킬때마다 목에서 뚜둑거리는 이물감,CA
답변보고 추가질문 드립니다 대장암 등 큰 질병은 걱정하지 않아도 되겠죠?,GI
목소리가 쉬면 평소랑 어떤 차이점이 있나요?,ENT
뇌 질환인가요?,NR
위와 장이 전반적으로 좋지 않은 것 같습니다. 도와주세요.,GI
위와 장이 불편한 상태입니다. 증상 한 번 봐주세요.,GI
갑자기 왼쪽눈 안구통과 두통이 오면서 머리가 띵하고..이명소리가들려요 ㅠㅠ,ENT
물을 엄청 마시는데 하루 2리터 가까이 먹습니다,KTM
당뇨 약 복용 문제,ENDO
위장 떨림 증세,GI
변성기 질문,ENT
갑자기 손가락,OS
UACR과 나이,NPH
UACR 개선,NPH
허리둘레와 복부비만의 UACR 상관관계,NPH
High Normal UACR 답변해 주신거에 의문이 있어서 연락 드립니다,NPH
간수치가 높게 나왔습니다,GI
TSH 수치 8.6,ENDO
길 고양이 발톱에 상처가 났는데 근육통이 생긴 것 같습니다.,INFC
식도염약과 양배추즙을 간격을 두고 복용해도 되나요?,GI
갑상선 크기,ENDO
코세척 질문있어요,ENT
점성이 있는 화학물질 흡입,EMR
혀끝이 아파요,ENT
일자목 어깨 목 통증 사라진것과 호전 연관성,KTM
갑상선기능항진증 피검사 결과지좀 봐주세요.,ENDO
경피적성대성형수술 전과 후 해야할 사항,ENT
아이혈변? 응가사진있어요ㅠ죄송합니다,GI
어르신 소화불량으로  마사지,GI
음식먹으면 구토해요,GI
감사합니다 선생님 감염확률이 없다고 생각하고 마음 편하게 먹어도 될까요?,INFC
청소년도 산부인과 보호자 없이 갈수 있나요? 임신 초기 증상도 알려주세요!,OBGY
아까전의 질문 답변감사합니다. 여전히 빌리루빈 높고하면 그 다음으로 받아볼수있는 검사는 어떻게 있나요?,GI
역류성 식도염 성대 관련,GI
입안쪽에서 볼에 볼록하게 튀어나온 덩어리,DENT
알부민/크레테인 ratio 너무 높지 않나요?,NPH
UACR 건강한 사람 기준이 뭔가요?,NPH
UACR 나이가 들면 증가하나요?,NPH
높은 빌리루빈 수치,GI
HIGH Normal UACR Value 아까 드린 질문 보충 자료 드립니다. ,NPH
길고양이 발톱,INFC
식도염 약 부작용인가요?,GI
자궁경부암 검사방법 문의드립니다,OBGY
음식을  먹고나면  30분이내에  구토해요,GI
고혈압 운동 방법 문의,CA
자궁경부확대촬영검사,OBGY
이거 자율신경 문제인가요,PSY
배고픔 손떨림,NR
역류성 식도염 PPI 복용여부 문의드립니다,GI
장염문의요.,GI
가다실9가 맞는 기간6개월동안은 성관계 못하나요?,OBGY
무슨 증상인가요? 심장이 불규칙 하게 뛰는 느낌이 있습니다  ,CA
역류성식도염이 있는 상태에서 성대 성형술,PS
선생님 이게 무슨 증상인가요? 이게 과로 증상인가요?,KTM
폐렴 예방 접종 (프리베나13주) 후 팔 통증,IP
혈변을 보는데 병원에 가기전에 심각한건지 궁금합니다.,GI
목이물감 검사는 후두경검사 인가요,ENT
식도염 약 복용법,GI
수면 위내시경후 통증,GI
설사가 조금씩 자주 나옵니다,GI
식후 등산해도 될까요? 소화에 큰 지장이 생기진 않지 않을까 싶은 생각이 들었습니다.,GI
배아픔,GI
코랑 입에 뿌리는 손 세정제가 들어갔어요,EMR
편도 결석이 생긴것같다는 질문을 올린사람인데요,ENT
안녕하세요 위천공 질문드린 사람입니다.,GI
위천공 질문 (어이없는 질문일지도..),GI
놀텍스와 덱스피드 동시복용해도되나요?,AN
음주 후 기침(염증,GI
성대 성형술 가능 여부,ENT
과민성 대장 증후군으로 항문통증 성기간지러움이 생길수있나요 ,GI
배꼽통증,GI
턱에 몽우리,ENT
추가 입이마르거나자구일어나면쫌쓰라린정도요. ,RHEU
위내시경 과정이 궁금해요,GI
입천창 소금물가글도도움이되나요,DENT
배가 아파요 도와주세요,GI
근력을 키우려하는데 이렇게 운동해도 괜찮을까요?,REHM
콩코르정 질문,CA
두통안구통,OPH
장염 같다고 말씀해주셨는데 추가질문드립니다.,GI
과민성 대장증후군이 맞나요?,GI
소변의 색상,URO
밀크시슬과 고지혈증약 복용관련 문의드립니다.,ENDO
침이나 물을 삼키면 목에 통증이있습니다.,ENT
안구통에 두통 있는데 신경과를 가야되나요?,OPH
제얼굴형이랑 코 어떤편인가요?,PS
몇일 좋아졌다가 다시 목잠김현상,ENT
방수 스프레이 흡입.,EMR
장염인데 내일 학교 갈 수 있을까요?,GI
가슴 쪽 통증,CA
남자 아랫배 통증이 계속 있습니다.,GI
장염...,GI
식도염 약 유통기한에 대해 질문드립니다.,GI
동맥성 발기부전 앞으로의 해결방안,URO
음주후 잦은 설사로 스트레스 받네요,GI
2차병원 뇌경색 진단 후 대학병원 가야할까요?,NR
콜레스테롤 LDL131이네요,ENDO
이게 과로 증상인가요?,KTM
거품뇨 질문드려요(사진),URO
침 삼킬때 타는 듯한 느낌 추가질문입니다,ENT
침 삼킬때 타는 듯한 느낌,ENT
장염도 고열을 동반할 수 있나요?,GI
내과병원은 갔다왔는데 장염 같다고 그러셨어요,GI
아래입술에 물집,DERM
갑상선 TSH 정상 수치 질문,ENDO
어째서 코로나 가능성이 적은건가용???!,IP
코로나일까봐 너무 무서워요.. 도와주세요 ㅠㅠㅠ,IP
고혈압으로 인한 동맥성 발기부전 발기부전,CA
코로나 동선이 안겹치는데 걸릴 수 가 있나요??,IP
소론도정 에소듀오정 상호작용,GI
백내장에 좋은 영양제가 있을까요?,OPH
라미나지액 상한걸 복용했다면 어떤가요?,GI
야간근무를 하면서 .. 저녁시간 문의,KTM
감사합니다 콜레스테롤 오메가제형으로된것을 하루에 두번 꾸준히복용하면될까요?,ENDO
답변감사드립니다 콜레스테롤,ENDO
후두 통증,NR
고혈압으로 인한 발기부전,CA
흉부 통증으로 2년전 부터 고생했습니다. 무슨과를 가야하는건가요??,CA
앉았다 일어나면 어지러움과 가슴 무거움,CA
귀에서 소리나서 미치겠습니다,ENT
역류성식도염때문에 호흡곤란이 오진않죠?,GI
체했는데 배고파서 죽을것같아요...,GI
이비인후과  목이나 기관지가래도 빼주시나요?,ENT
오한 근육통이 있습니다 코로나 검사를 받아야 하나요?,IP
당뇨 수치가 135나왔는데 여기에 대한 평가,ENDO
초고도비만 다이어트,ENDO
설사 문의합니다. 아랫배 근육이 긴장되서 그런건가요,GI
기초체온 37.8이예요,INFC
어느병원으로 가는게 좋을까요? 요즘따라 다리에 쥐가 많이 난다고합니다.,KTM
뒷통수 목뒤 이상해요,KTM
수면을12시간넘게자도 너무 피곤합니다.,PSY
공복 위산분비,GI
콜레스테롤 높아도,ENDO
가래 그래서 호흡곤란증상이 왔던걸까요?,IP
지난주 부터 머리가 너무 아파서 약처방받았는데 약을 먹었는데도 두통과 어지럼증이 지속되는 건 왜일까요?,NR
심장뛰는게 느껴지는데,CA
11시간 10시간 정도 잤는데 몸이 엄청 다운되 있고 몸상태가 자기전이랑 똑같습니다 왜이런건가요?,REHM
작년부터 증상이 아래와 같이 나타나기 시작했습니다. 증상만 보면 공황장애랑 비슷한가요?,PSY
기초 체온 높음 37.8이예요,INFC
이틀 경과 변을봤는데 대변색깔이 모두 정상적이었고 어디 아픈곳도 없습니다 !,GI
비타민D주사 멍울 열감 (부작용)에 대해 문의드리고 싶습니다.,ENDO
귀 통증 제가 지금 미국에 살아서 병원에 갈수가 없어요... ,ENT
b형간염 마지막으로 질문드립니다.,GI
선생님 추가로 질문이 있습니다 방금  b형간염에 대해 질문을 올린 사람입니다.,GI
역류성 식도염 비염약 복용,ENT
체중감소.,ENT
방금질문관련 세부질문입니다 대장내시경 관련 질문했었습니다. ,GI
대장내시경 약 내일도 복용해야할까요?(사진있음),GI
정수리에서 오른쪽 부분 두통,NR
우유 유통기한,GI
염색 알레르기,ALL
코로나 증상 단계별 발현내용,IP
귀 통증,ENT
찬물을 마시면 오한이 생길수있나요?,GI
콜레스테롤이 위험수준에 있습니다...,ENDO
질문 혀로입천장을자꾸만지면쓰라릴수있나요.,DENT
자궁경부암 검사 후 성관계해도 상관없나요,OBGY
며칠 전부터 손목에 빨간 발진? 이 나타났습니다.,DERM
증상 질문이요 가끔 호흡불편 가끔 목조이는 느낌,IP
입천장,DENT
오메가3 끈적거리는데 괜찮은건가요?,ENDO
빈맥과 가끔씩 가슴에 압박감이 느껴져 순환기내과 진료를 보려고 하는데요.,CA
복부ct,GI
정신과 약에서 나는 냄새를 맡으면 몸에 안좋나요?,PSY
아 다른내용 재질문이요.. 의사쌤이 천식아니라고하셨는데 그럼 믿어도되나요? ,IP
목 오른쪽 부분이 아픕니다.,AN
위산이 과다가 아니라 저하인 경우에는 제산제가 오히려 역효과라던데 ,GI
위내시경 3달전후 없던증상이 생겨 다시 검사 맡고싶은데  가능한가요?,GI
당뇨전단계 인지요?,ENDO
왼쪽가슴이 불편합니다.,CA
10살짜리 아이의 머리를 가볍게 흔든 적이 있습니다,NR
어제 땅콩먹고 윗배통증,GI
항상 감사드립니다. 잦은 어지럼증? 이라고 하기도 애매한 증상이 미세항 두통도 생겼습니다.,NR
스쿼트 운동 시 발의 모양,REHM
익상견갑과 일자목 교정,KTM
편도결석이 냄새가 안나는경우도 있나요?,ENT
31개월 아이 설사지림,GI
공복혈당과 당화혈색소..,ENDO
생리 끝난 기준,OBGY
소화가 늦게 되고 양치하고 혀닦을때  오바이트가 나옵니다.,GI
거품뇨 질문드려요,URO
왼쪽 갈비뼈 하단,AN
폐렴 예방 접종 문의 드립니다. 답변 주신 것에 대해 추가 문의 드립니다.,IP
군발성 두통,NR
전고혈압.. 건강,CA
갈색변 검은변 같이.. 무조건 내과 가봐야되나요 ?,GI
갈색변 검은색변 같이 나왔어요,CA
긴장성 두통관련,NR
폐렴 예방 접종 시 스테로이드 치료 관련 문의,IP
목에 이물감.,ENT
우슬에 대한 재 질문,KTM
가다실 9 2차접종시 성관계,OBGY
피부 패임 때문에 질문 올렸었는데요,DERM
작년에 설사가 심했습니다.,GI
독시사이클린,INFC
경구피임약 복용중에 복통,OBGY
내시경 결과지입니다,GI
베체트장염 가능성 있을까요?,GI
목  이물감으로 고통 입니다,ENT
목을 뒤로 젖히면 아파요,KTM
한약복용중인데 콜라마셔도 되나요?,KTM
오메가3 권장량은 어느 정도인가요?,ENDO
미열만 4일째 지속,IP
역류성 식도염 인데 유산균 같이 먹어도 되나요?,GI
더위를 먹어 땀 많이 흘릴 시 오한이 오기도하나요,NPH
제가 당뇨인것 같은데요,ENDO
가려움이 나아지지가 않아요,DERM
당뇨환자 다이어트 단백질섭취량,ENDO
콜레스테롤 수치가 너무높습니다,ENDO
야식먹으면 다음날 아침 공복혈당이 143인데요,ENDO
영양제 복용 시간과 식도염에 관련해서 질문드려요,GI
DPT 부작용인지요?,ALL
성대구증 KTP 수술후,ENT
우슬환,KTM
어지럼증?  다른검사가.필요할까요?,NR
푸리민정문의요 선생님 답변 잘 받았어요,KTM
콜레스테롤 중성지방 수치 ,ENDO
푸리민정 문의요,KTM
콜레스테롤 중성지방 수치,ENDO
배가 너무 아파요 이주넘게,GI
식도 입구쪽에 바닥같은게 있나요?,GI
기도보다 식도가 좁나요?,GI
아무것도 안먹고 땅콩먹었는데 아픕니다,GI
장염이 걸렸는데 변에서 피가나요,GI
안면마비 맞나요?,NR
운동만하면 속이않좋고 토할꺼같은데 병원가봐야하나요,GI
열은 안나는데 몸에 열감이 계속 됩니다,KTM
추가 질문이요 그럼 우유말고 두유는 괜찮나요?,GI
어깨가 삐뚤어졌어요,REHM
위엔탑정 복용법,GI
추가 문의드려요 녹차파우더 흰우유에 타먹거나 하는것두 효과가 있는지요,KTM
중성지방 콜레스테롤 수치,ENDO
동맥경화,CA
미녹시딜 2% vs 5%,DERM
저 뇌에 문제가 생긴걸까요,NR
목구멍에 돌기 같은데 생겼는데 뭔가요?,ENT
유산균 질문 유통기한지나면 바로 버려야되나요?,GI
운동가르쳐주는 코치? 그분이 허벌라이프를 추천하더라구요 그걸 먹어두 되는건지 ???? 여쭤봤습니다 ㅜㅜ,KTM
유산균 영양제 복용법,GI
건강한 입술색,DERM
심장판막증 뇌출혈 등 가족력 문의,CA
허벌라이프? 쉐이크할 허벌티? 를 추천해주더라구요~,KTM
숙변은 암과 같은 성인병 원인이 될 수 있다는 기사를 본 적이 있습니다. ,GI
심장문제로 응급실  피검사할때 고지혈증도 나오나요?,EMR
마음에 대한 치료는 어디서 받을 수 있나요?,PSY
급성변비,GI
삼킴곤란 관련) 정신이나 신경적인 문제로 통증이 느껴질 수도 있나요?,NR
이비인후과 질문드립니다.,ENT
귀마개를 끼고다니면 청력 좋아질수있나요?,ENT
배에서 큰 소리 아주 큰 물소리? 두꺼비 소리가 납니다.,GI
예방접종부위 동그란 결절,DERM
20대 살 빼면 키도 크나요?,ENDO
물을 많이 먹으면 화장실도 자주가니까 좋은지 알았거든요 ㅠㅠ하루에 어느정도 선으로 먹는게 제일 적당한거에요??,KTM
예전에 주사같은 거 맞을때 물 닿거나 하면 감염되어서 생명에 지장이 생길 수도 있다고 들었던 것 같아서요!,INFC
성정체성이 여러번 변할수있나요?,PSY
코를 부딪힌후에 코막힘에 대해 여쭤봅니다.,ENT
탄수화물 섭취 또한 운동은 어떤 종류를 해야 도움이 될까요?,KTM
목이 건조하고 동그란게 있어요,ENT
가다실예방접종,OBGY
자궁경부암에 대한 문의,OBGY
임신가능성 있나요?,OBGY
아랫배가 아프면서 설사도 하고 윗배를 누르면 속이 울렁거립니다,GI
두통이 계속 됩니다.,NR
대장내시경 결과 이상소견 문의(직장부위),GI
혓바닥 밑에 또 다른 살이 있어요,DENT
배가 꾸르륵 배에 가스 머리아픔,GI
잦은대변과 복부통증,GI
아가가 토를 했는데요,GI
혈압이 오르락내리락,CA
항문에서 선홍색 출혈,GS
목간질간질하면서 답답하다,ENT
심장질환일 확률,CA
왼쪽 두통,NR
매일설사,GI
면역치료중일때 고양이와 함께있으면안되나요?,ALL
한가지 자가면역질환이 있으면 다른 종류의 자가 면역질환도 오기 쉽나요?,RHEU
심장이 안좋다는건 보통 어떤걸 의미하는지 궁금합니다...,CA
저희 어머니가 원래 저체중이신데 재작년에 갱년기가 오면서 살이 더 빠지셨어요. ,OBGY
빈맥 문의드립니다.,CA
오른쪽머리가 전기온듯 찌릿찌릿,NR
아랫배통증,GI
열 오르락내리락하는데 코로나인가요?,IP
열 고열 피곤 어지러움 눈아픔 설사 기침 감기몸살 코로나바이러스,IP
급성기관지염일까요?,IP
편두통과 뇌졸중 가능성에 대하여 궁금합니다.,NR
목부분에 두드러기가 났습니다,DERM
안 아픈 구내염도 있나요?,DENT
비염축농증,ENT
뒷 목에 힘줄(?),REHM
'타이레놀'을 현재 처방약과 함께 복용해도 될지 문의 드립니다.,AN
옴니세프캡슐 헤르벤정 같이먹어도 무방하나나요?,CA
B형간염 주사를 맞고 이렇게 노란멍이 들 수 있나요 ?,GI
계속 배가 아프고 설사는 아니지만 똥이 묽게 나와요⃗ ,GI
만성담도염(추정)인 어머니를 어떻게 케어하면 좋을까요?,GI
오른쪽 가슴통증,IP
이 두드러기같은거뭔가요,DERM
마그네슘하고 철분제 같이 먹어도 되나요?,GI
COPD일까요?,IP
폐렴예방접종,IP
콜레스테롤 수치가 너무 높습니다 약을 먹어야 하나요?,ENDO
손톱에 이렇게 가로로 줄이 있는데 이게 뭔가요?  이렇게 되있네요ㅜㅠ,DERM
자세,REHM
왼쪽 팔뚝 기분나쁘게 아픈데요 ,OS
다이어트 후 어지럼증과 현기증,ENDO
편도가 헐은건가요?,ENT
선생님 연하검사 관련 글에 답변해주셔서 감사합니다,REHM
가슴/심장이 아픔+왼쪽 승모근,CA
손목 혈압계,CA
구강건조증? 쇼그렌증후군??,RHEU
오른쪽 목구멍이 아파요~,ENT
음식물에 목에 걸린것,ENT
엑스레이로 음식물도 볼수 있나요?,GI
방금 생리가 시작됐는데 내일 혈액검사를 받아도 괜찮을까요?? ,OBGY
음식을 먹으면 왼쪽부근에 걸리는 느낌이 있습니다.,GI
앰씰린캡슐,INFC
손에 붉은반점같은게 올라왔는데 왜이런거죠,DERM
가슴 왼쪽 통증,CA
기도에 음식물이 들어갔을때와 그전의 궁금증,IP
블루베리 권장량과 블루베리 요구르트  질문드립니다.,KTM
석면소체 검사로 석면노출력 검사가 가능한가요?,IP
평소와 다른 두통 지속,NR
플라스틱이 녹은걸 먹은거같은데요 ..,EMR
운동과노화,REHM
운동과 노화,REHM
위 내시경에 대해..,GI
당뇨환자 다이어트 식단과 운동,ENDO
에탄올 체내에 흡수되면 현상,GI
위 내시경,GI
속이 안좋은 이유,GI
철분제랑 같이 먹으면 안되는 것 알려주세요,HEON
폐간지러움,IP
야채늘리라.하셨는데 ..식단문의드려요,KTM
갑상선 결절 등 이후 조치,ENDO
몸무게가 계속 빠져요.,ENDO
만차 지하철 숨쉬기 어려움.,PSY
정수리오른편 머리가 전기가찌릿하듯,NR
인플란트 식립하고 6일후 골다공증주사를 맞았어요.생각을 못했네요,DENT
얼굴 헤르페스 전조증상,NR
수술후 장마비/폐색이..,GI
배에 가스차고 배가 나와요,GI
요즘들어 잦은 두통에 시달립니다.,NR
충수염수술후 구토,GI
흑색변 질문,GI
아이 볼거리,INFC
2일 연속 복통,GI
목  잠김현상,ENT
밥먹고 아랫뱃살,GI
저혈압 호흡곤란,CA
비염(고주파 하비갑개 절제술)에대하여 전문의분들께 여쭙니다,ENT
알프람정,PSY
흑색변 질문있습니다,GI
입술이 안맞는 느낌이 들어요,ENT
손톱 갈라짐,DERM
피임약 복용중 항생제..,OBGY
30도 넘는 더위에 안약과 인공눈물 냉장보관해야 하나요?,OPH
간암 유전자 검사 결과 문의,GI
약간의부정맥이있어서  고지혈증약처방해준건지요?,CA
가다실 2차 접종하려고 합니다.,OBGY
음식물을 섭취할때 꿀꺽꿀꺽 하는건 저절로 일어나는 건가요?,GI
한약을 평생먹어야하는데 그러면 간썩나요?,KTM
헬리코박터 파일로리 제균치료 중 변모양,INFC
기립성 저혈압인 줄 알았는데 불안정성 협심증,CA
자고 일어났는데 코가 이렇게 빨간데 왜 이런걸까요?,ENT
새벽에 흉통,CA
로아큐탄을 수술전후에 권고하지않는이유,DERM
콧물/가래에 초록색 알갱이가 나옵니다,ENT
잇몸염증 구내염?,ENT
머리 정수리 오른편에 전기흐르듯,NR
배가 여기저기 아파요,GI
평상시 심박수가 낮습니다. 기립성 저혈압 증세도 있고요.,CA
제가 급성 호흡곤란증후군일수있나요?,IP
자다가 왼쪽가슴통증으로 새벽4시에 깼어요 협심증같은거였늘까요??,CA
빈혈?? 호흡불편답답증상 겪고있어요,HEON
오른쪽정수리쪽 전기흐르듯,NR
아이가 연기를 마셨을 때 어떻게 하나요?,IP
목 잠김,ENT
목을 누르면 가래 끓는 소리가 나고 숨이 이상합니다,ENT
아침 만성피로에 대해 여쭤봅니다.,KTM
복통과 가슴(심장)통증의 구분?,CA
코로나19 증상 인가요? 머리가 아픈거 빼고는 열도 없고 기침 그런거 없었습니다,IP
은박지를 삼켰어요..,EMR
코로나 인가요  물 설사를 했어요 ,GI
명치 쪽이 더부룩하면서 누르면 아프고 설사하는데요..,GI
대변색,GI
역류성 식도염 때문에 숨 쉬기 힘들 수 있나요?,IP
방금 트림의 원리에 대해서 질문 드렸는데여,GI
인중 피부쪽의 구진 놔두면 자연스레 사라지나요?,DERM
트림의 원리,GI
한 달에 한 두번 위경련이 일어납니다.,GI
모기한테 물릴 때 죽였는데요... 모기의 침(입,INFC
예방접종부위가 하루지나서심하게부었어요,DERM
혹시 가래가 많으면 천식인가요?,IP
간수치 높은데 어떡해야 할까요?,GI
어제 먹은 자두씨어 대해 여쭈어 봅니다.,KTM
청소년 우울증으로 몇년간 대학병원에서 다니고 있고 ,PSY
글루타민 섭취시간과 섭취량!,KTM
정액묻은 손가락 삽입을 통한 임신사례,OBGY
임신가능성 궁금해요 성기 삽입은 일체 없었습니다.,OBGY
직접적인 삽입없이 임신 가능한가요?,OBGY
목이물감,ENT
목잠김현상,ENT
제발 알려주세요 임신 가능성 없는거 맞죠?. ,OBGY
피임약을 끊고 임신가능성,OBGY
목이물감 호흡곤란,ENT
모르고 자두씨를 삼켰는데 어떻게 하나요?,GI
빈혈 없는 사람 철분제 먹으면 안되나요?,HEON
정확한 니코틴검사,IP
전립선염에 도움 될만한 영양제 추천 부탁드립니다.,OBGY
요실금 질문드려요,URO
임신 혈액검사 결과 질문입니다,OBGY
임신가능성 있는지 봐주세요,OBGY
삼킴장애와 흡인성폐렴관련 문의 드립니다.,IP
식도 역류로 인한 기도막힘,IP
자궁선근증 증상 및 호전방법 문의,OBGY
마그네슘 보충제 질문,GI
세로자트랑 철분제 같이 먹어도 되나요,HEON
이러한 경우로 임신이 되나요,OBGY
몸에 털이 많아졌어요,DERM
에스졸정 라미나지액,GI
선생님 소화기관과 두통 관련이 있는건가요 ??,NR
천식은 원래 없습니다ㅠ,IP
콘돔 없이 관계를 가질때 당일에 피임약을 복용하면 안전한가요?,OBGY
숨 쉬기 애매하게 힘이 듭니다,IP
삼킴장애로 음식 잘 못먹고 기침하고 그러는데 무서운 꿈까지 꿨어요 병원 가야되나요?,NR
피부과에서 휴지기 탈모증이라는 판명을 받았습니다.,DERM
경구피임약 휴약기 생리안함,OBGY
에스졸정 은 안먹고 라미나지액만 복용해도 괜찮을까요,GI
심박수 재면 80전 후 나오는데 이것도 갑상선 항진증 증상인가요?,ENDO
키성장 건강기능식품,KTM
자궁내 정자 생존기간과 정액량이 관계가 있나요??,OBGY
입원 중 수동 혈압을 재고 나서 팔에 상처가 생겼는데,DERM
갑상선수치는 정상인데 갑상선자극호르몬수체가 높으면 치료받아야하나요?,ENDO
헬리코박터 파일로리 제균치료  약들,INFC
요즘 삼키는게 자꾸 신경쓰이는데 병원 방문 해야할까요?,PSY
간과눈충혈,OPH
감사합니다 선생님 천공 관련 질문드렸습니다,GI
휴약기 중 생리,OBGY
간이안좋아도눈충혈이될수있나요,OPH
선생님  소화기관  천공 등의 생명에 지장이 생기는 질환이 발생할 가능성은 낮나요? ,GI
멀미하면 얼굴이 창백해지는이유?,GI
새끼손가락 떨림문제,NR
폐 아니면 심장에서 똑 똑 소리가 납니다,CA
식사 도중인 사람의 등을 손바닥으로 치면 위험한가요,GI
가슴통증 잠잘때 오른쪽으로 누으면 더한거같고요 ,CA
오른쪽 복부에서 시작되는 불편감을 해결하고 싶습니다.,GI
가임기 냉 나오는 시기에 대해 질문드려요!,OBGY
아침에 일어나면 오른쪽가슴이 뜨끔뜨끔 합니다 오래가지는않고요 낮에는 못느끼고요,AN
식사시 가슴 두근거림,CA
복부 통중,GI
